,index,LoadHourlyAvg,Percentile
0,0,14965.74,1.0
1,1,14630.67,1.0
2,2,13416.39,1.0
3,3,12874.050000000005,1.0
4,4,12520.080000000002,1.0
5,5,11848.680000000002,1.0
6,6,11312.010000000002,1.0
7,7,11073.436363636365,1.0
8,8,11068.74,1.0
9,9,10993.320000000003,1.0
10,10,10859.04,1.0
11,11,10639.08,1.0
12,12,10446.12,1.0
13,13,10385.574545454549,1.0
14,14,10082.16,1.0
15,15,9707.85,1.0
16,16,9661.77,1.0
17,17,9029.34,1.0
18,18,7958.716363636364,1.0
19,19,7948.3499999999985,1.0
20,20,7613.459999999999,1.0
21,21,6923.61,1.0
22,22,6853.770000000001,1.0
23,23,6537.87,1.0
24,24,6453.9000000000015,1.0
25,25,6436.112727272728,1.0
26,26,6387.749999999999,1.0
27,27,6348.24,1.0
28,28,6158.07,1.0
29,29,6022.080000000001,1.0
30,30,6012.09,1.0
31,31,5969.700000000002,1.0
32,32,5923.3499999999985,1.0
33,33,5811.3,0.999
34,34,5767.101818181819,0.999
35,35,5761.260000000001,0.999
36,36,5734.350000000001,0.999
37,37,5703.03,0.999
38,38,5699.610000000002,0.999
39,39,5600.192727272727,0.999
40,40,5597.55,0.999
41,41,5581.89,0.999
42,42,5564.061818181819,0.999
43,43,5539.3200000000015,0.999
44,44,5480.46,0.999
45,45,5469.768000000001,0.999
46,46,5466.780000000002,0.999
47,47,5328.629999999998,0.999
48,48,5327.1,0.999
49,49,5317.7236363636375,0.999
50,50,5308.2,0.999
51,51,5294.43,0.999
52,52,5249.88,0.999
53,53,5245.56,0.999
54,54,5239.669090909091,0.999
55,55,5231.88,0.999
56,56,5184.981818181819,0.999
57,57,5174.819999999999,0.999
58,58,5151.06,0.999
59,59,5144.220000000001,0.999
60,60,5112.99,0.999
61,61,5112.27,0.999
62,62,5100.12,0.999
63,63,5077.374545454546,0.999
64,64,5031.18,0.999
65,65,5031.000000000001,0.999
66,66,5027.940000000001,0.999
67,67,5004.989999999999,0.999
68,68,5003.88,0.999
69,69,4997.592000000001,0.999
70,70,4995.990000000002,0.999
71,71,4980.06,0.999
72,72,4958.6727272727285,0.999
73,73,4952.6100000000015,0.999
74,74,4932.1799999999985,0.999
75,75,4926.420000000001,0.999
76,76,4923.9000000000015,0.999
77,77,4922.738181818181,0.999
78,78,4910.760000000001,0.999
79,79,4876.6500000000015,0.999
80,80,4875.57,0.999
81,81,4871.52,0.999
82,82,4850.6727272727285,0.999
83,83,4841.190000000001,0.999
84,84,4835.6100000000015,0.999
85,85,4800.600000000001,0.999
86,86,4797.81,0.999
87,87,4763.978181818182,0.999
88,88,4761.3272727272715,0.999
89,89,4745.0700000000015,0.999
90,90,4744.89,0.999
91,91,4744.71,0.999
92,92,4742.28,0.999
93,93,4715.52,0.999
94,94,4708.71,0.999
95,95,4697.901818181818,0.999
96,96,4691.029090909092,0.999
97,97,4687.6500000000015,0.998
98,98,4671.392727272728,0.998
99,99,4651.29,0.998
100,100,4648.5,0.998
101,101,4629.240000000002,0.998
102,102,4608.3600000000015,0.998
103,103,4592.970000000001,0.998
104,104,4568.832,0.998
105,105,4552.396363636363,0.998
106,106,4545.81,0.998
107,107,4528.62,0.998
108,108,4519.89,0.998
109,109,4505.759999999998,0.998
110,110,4497.84,0.998
111,111,4495.745454545454,0.998
112,112,4494.420000000001,0.998
113,113,4482.450000000002,0.998
114,114,4482.45,0.998
115,115,4476.330000000001,0.998
116,116,4464.0,0.998
117,117,4450.189090909091,0.998
118,118,4433.31,0.998
119,119,4426.7236363636375,0.998
120,120,4420.71,0.998
121,121,4401.000000000001,0.998
122,122,4397.04,0.998
123,123,4382.64,0.998
124,124,4374.990000000002,0.998
125,125,4369.59,0.998
126,126,4356.000000000001,0.998
