,index,LoadHourlyAvg,ZoneName,SignalMonth,ZoneAreaSqFt
0,0,14965.74,CAV-02-3A-31,11,92.0
1,1,14630.67,CAV-02-3A-31,11,92.0
2,2,13416.39,CAV-02-3A-31,11,92.0
3,3,12874.050000000005,CAV-02-3A-31,11,92.0
4,4,12520.080000000002,CAV-02-3A-31,11,92.0
5,5,11848.680000000002,CAV-02-3A-31,11,92.0
6,6,11312.010000000002,CAV-02-3A-31,11,92.0
7,7,11073.436363636363,CAV-02-3A-31,11,92.0
8,8,11068.74,CAV-02-3A-31,11,92.0
9,9,10993.320000000002,CAV-02-3A-31,11,92.0
10,10,10859.04,CAV-02-3A-31,11,92.0
11,11,10639.08,CAV-02-3A-31,11,92.0
12,12,10446.12,CAV-02-3A-31,11,92.0
13,13,10385.574545454549,CAV-02-3A-31,11,92.0
14,14,10082.16,CAV-02-3A-31,11,92.0
15,15,9707.85,CAV-02-3A-31,11,92.0
16,16,9661.77,CAV-02-3A-31,11,92.0
17,17,9029.34,CAV-02-3A-31,11,92.0
18,18,7958.716363636363,CAV-02-3A-31,11,92.0
19,19,7948.349999999999,CAV-02-3A-31,11,92.0
20,20,7613.459999999999,CAV-02-3A-31,11,92.0
21,21,6923.61,CAV-02-3A-31,1,92.0
22,22,6853.770000000001,CAV-02-3A-31,3,92.0
23,23,6537.87,CAV-02-3A-31,1,92.0
24,24,6453.900000000001,CAV-02-3A-31,7,92.0
25,25,6436.112727272728,CAV-02-3A-31,2,92.0
26,26,6387.749999999999,CAV-02-3A-31,6,92.0
27,27,6348.24,CAV-02-3A-31,6,92.0
28,28,6158.07,CAV-02-3A-31,7,92.0
29,29,6022.080000000001,CAV-02-3A-31,1,92.0
30,30,6012.09,CAV-02-3A-31,1,92.0
31,31,5969.700000000001,CAV-02-3A-31,6,92.0
32,32,5923.349999999999,CAV-02-3A-31,8,92.0
33,33,5811.3,CAV-02-3A-31,5,92.0
34,34,5767.101818181819,CAV-02-3A-31,6,92.0
35,35,5761.260000000001,CAV-02-3A-31,1,92.0
36,36,5734.350000000001,CAV-02-3A-31,6,92.0
37,37,5703.03,CAV-02-3A-31,7,92.0
38,38,5699.6100000000015,CAV-02-3A-31,1,92.0
39,39,5600.192727272727,CAV-02-3A-31,6,92.0
40,40,5597.55,CAV-02-3A-31,5,92.0
41,41,5581.89,CAV-02-3A-31,4,92.0
42,42,5564.061818181819,CAV-02-3A-31,9,92.0
43,43,5539.320000000001,CAV-02-3A-31,1,92.0
44,44,5480.46,CAV-02-3A-31,8,92.0
45,45,5469.768000000001,CAV-02-3A-31,7,92.0
46,46,5466.780000000002,CAV-02-3A-31,6,92.0
47,47,5328.629999999998,CAV-02-3A-31,1,92.0
48,48,5327.1,CAV-02-3A-31,6,92.0
49,49,5317.723636363637,CAV-02-3A-31,9,92.0
50,50,5308.2,CAV-02-3A-31,4,92.0
51,51,5294.43,CAV-02-3A-31,5,92.0
52,52,5249.88,CAV-02-3A-31,5,92.0
53,53,5245.56,CAV-02-3A-31,8,92.0
54,54,5239.669090909091,CAV-02-3A-31,7,92.0
55,55,5231.88,CAV-02-3A-31,10,92.0
56,56,5184.981818181819,CAV-02-3A-31,5,92.0
57,57,5174.819999999999,CAV-02-3A-31,8,92.0
58,58,5151.06,CAV-02-3A-31,8,92.0
59,59,5144.220000000001,CAV-02-3A-31,9,92.0
60,60,5112.99,CAV-02-3A-31,8,92.0
61,61,5112.27,CAV-02-3A-31,5,92.0
62,62,5100.12,CAV-02-3A-31,8,92.0
63,63,5077.374545454546,CAV-02-3A-31,8,92.0
64,64,5031.18,CAV-02-3A-31,11,92.0
65,65,5031.000000000001,CAV-02-3A-31,8,92.0
66,66,5027.940000000001,CAV-02-3A-31,4,92.0
67,67,5004.989999999999,CAV-02-3A-31,4,92.0
68,68,5003.88,CAV-02-3A-31,6,92.0
69,69,4997.592,CAV-02-3A-31,7,92.0
70,70,4995.990000000002,CAV-02-3A-31,6,92.0
71,71,4980.06,CAV-02-3A-31,11,92.0
72,72,4958.6727272727285,CAV-02-3A-31,6,92.0
73,73,4952.610000000001,CAV-02-3A-31,11,92.0
74,74,4932.179999999999,CAV-02-3A-31,8,92.0
75,75,4926.420000000001,CAV-02-3A-31,5,92.0
76,76,4923.900000000001,CAV-02-3A-31,8,92.0
77,77,4922.738181818181,CAV-02-3A-31,8,92.0
78,78,4910.760000000001,CAV-02-3A-31,11,92.0
79,79,4876.650000000001,CAV-02-3A-31,5,92.0
80,80,4875.57,CAV-02-3A-31,10,92.0
81,81,4871.52,CAV-02-3A-25,1,334.0
82,82,4850.6727272727285,CAV-02-3A-31,11,92.0
83,83,4841.190000000001,CAV-02-3A-31,11,92.0
84,84,4835.610000000001,CAV-02-3A-31,8,92.0
85,85,4800.600000000001,CAV-02-3A-31,8,92.0
86,86,4797.81,CAV-02-3A-31,9,92.0
87,87,4763.978181818182,CAV-02-3A-31,8,92.0
88,88,4761.327272727272,CAV-02-3A-31,8,92.0
89,89,4745.070000000001,CAV-02-3A-31,12,92.0
90,90,4744.89,CAV-02-3A-04,2,268.0
91,91,4744.71,CAV-02-3A-31,9,92.0
92,92,4742.28,CAV-02-3A-31,9,92.0
93,93,4715.52,CAV-02-3A-31,7,92.0
94,94,4708.71,CAV-02-3A-31,5,92.0
95,95,4697.901818181818,CAV-02-3A-31,2,92.0
96,96,4691.029090909092,CAV-02-3A-31,8,92.0
97,97,4687.650000000001,CAV-02-3A-31,4,92.0
98,98,4671.392727272728,CAV-02-3A-04,11,268.0
99,99,4651.29,CAV-02-3A-31,10,92.0
100,100,4648.5,CAV-02-3A-31,8,92.0
101,101,4629.240000000001,CAV-01-3A-22,1,263.0
102,102,4608.360000000001,CAV-02-3A-31,11,92.0
103,103,4592.970000000001,CAV-02-3A-31,8,92.0
104,104,4568.832,CAV-02-3A-31,8,92.0
105,105,4552.396363636363,CAV-02-3A-31,11,92.0
106,106,4545.81,CAV-02-3A-31,8,92.0
107,107,4528.62,CAV-01-3A-16,11,255.0
108,108,4519.89,CAV-02-3A-04,4,268.0
109,109,4505.759999999999,CAV-01-3A-16,11,255.0
110,110,4497.84,CAV-02-3A-31,8,92.0
111,111,4495.745454545454,CAV-01-3A-18,2,250.0
112,112,4494.420000000001,CAV-02-3A-31,4,92.0
113,113,4482.450000000001,CAV-02-3A-31,4,92.0
114,114,4482.45,CAV-02-3A-31,9,92.0
115,115,4476.330000000001,CAV-02-3A-31,11,92.0
116,116,4464.0,CAV-02-3A-31,8,92.0
117,117,4450.189090909091,CAV-01-3A-23,2,334.0
118,118,4433.31,CAV-02-3A-04,1,268.0
119,119,4426.723636363637,CAV-01-3A-16,1,255.0
120,120,4420.71,CAV-02-3A-31,8,92.0
121,121,4401.000000000001,CAV-02-3A-31,2,92.0
122,122,4397.04,CAV-02-5A-04,3,268.0
123,123,4382.64,CAV-02-3A-31,12,92.0
124,124,4374.990000000001,CAV-02-3A-05,6,348.0
125,125,4369.59,CAV-01-3A-15,2,255.0
126,126,4356.000000000001,CAV-02-3A-25,1,334.0
127,127,4350.240000000001,CAV-02-3A-31,4,92.0
128,128,4344.66,CAV-02-3A-05,9,348.0
129,129,4336.2,CAV-02-3A-31,8,92.0
130,130,4333.5,CAV-02-3A-31,8,92.0
131,131,4291.650000000001,CAV-02-3A-31,10,92.0
132,132,4290.3,CAV-02-3A-31,4,92.0
133,133,4289.670000000001,CAV-02-5A-04,10,268.0
134,134,4287.698181818182,CAV-02-3A-05,12,348.0
135,135,4273.290000000001,CAV-01-3A-16,11,255.0
136,136,4265.64,CAV-02-3A-04,6,268.0
137,137,4257.540000000001,CAV-01-3A-16,11,255.0
138,138,4257.000000000001,CAV-01-3A-24,7,268.0
139,139,4250.16,CAV-02-3A-31,1,92.0
140,140,4248.09,CAV-01-3A-23,2,334.0
141,141,4221.450000000001,CAV-02-5A-04,3,268.0
142,142,4216.320000000001,CAV-02-5A-01,3,268.0
143,143,4195.53,CAV-02-3A-31,10,92.0
144,144,4194.180000000001,CAV-02-3A-31,8,92.0
145,145,4191.570000000001,CAV-02-3A-05,5,348.0
146,146,4186.374545454545,CAV-02-3A-05,8,348.0
147,147,4176.36,CAV-02-3A-31,9,92.0
148,148,4162.589999999999,CAV-02-3A-31,8,92.0
149,149,4132.4400000000005,CAV-02-3A-31,8,92.0
150,150,4130.1,CAV-01-3A-15,1,255.0
151,151,4119.512727272728,CAV-01-3A-24,7,268.0
152,152,4112.64,CAV-02-3A-25,12,334.0
153,153,4111.740000000001,CAV-02-3A-31,9,92.0
154,154,4106.97,CAV-02-5A-04,10,268.0
155,155,4104.72,CAV-01-3A-21,11,263.0
156,156,4095.810000000001,CAV-02-5A-02,4,268.0
157,157,4090.140000000001,CAV-02-3A-04,4,268.0
158,158,4089.567272727273,CAV-02-3A-31,4,92.0
159,159,4079.61,CAV-02-3A-31,8,92.0
160,160,4079.43,CAV-02-5A-01,3,268.0
161,161,4078.980000000001,CAV-02-3A-31,6,92.0
162,162,4076.19,CAV-02-3A-04,9,268.0
163,163,4062.15,CAV-02-5A-01,2,268.0
164,164,4059.81,CAV-02-3A-04,11,268.0
165,165,4054.0500000000006,CAV-01-3A-24,12,268.0
166,166,4050.7200000000007,CAV-02-5A-01,3,268.0
